SCBC,in_degree,pbefore,pafter,pchange
SC,11,0.003819444,0.004901961,0.001082516
SC,5,0.005555556,0.00245098,-0.003104575
SC,8,0.003819444,0.024509804,0.020690359
SC,11,0.001736111,0.009803922,0.00806781
SC,5,0.000694444,0.012254902,0.011560458
SC,8,0.044097222,0.080882353,0.036785131
SC,8,0.003472222,0.007352941,0.003880719
BC,4,0.006597222,0.019607843,0.013010621
BC,17,0.008333333,0.031862745,0.023529412
BC,19,0.030208333,0.090686275,0.060477941
BC,7,0.003125,0.022058824,0.018933824
BC,21,0.007291667,0.024509804,0.017218137
BC,6,0.003472222,0.004901961,0.001429739
BC,14,0.004861111,0.017156863,0.012295752
BC,5,0.004166667,0.012254902,0.008088235
BC,13,0.001388889,0.014705882,0.013316993
BC,9,0.004166667,0.019607843,0.015441176
BC,8,0.002083333,0.031862745,0.029779412
BC,24,0.036805556,0.129901961,0.093096405
BC,15,0.027083333,0.100490196,0.073406863
BC,9,0.002777778,0.026960784,0.024183007
BC,7,0.003472222,0,-0.003472222
BC,7,0.022569444,0.009803922,-0.012765523
BC,7,0.006597222,0.009803922,0.003206699
BC,6,0.002083333,0.014705882,0.012622549
BC,3,0.001388889,0,-0.001388889
BC,6,0.003819444,0.009803922,0.005984477
BC,8,0.003125,0.012254902,0.009129902
BC,6,0.00625,0.046568627,0.040318627
BC,39,0.090625,0.100490196,0.009865196
BC,8,0.002083333,0.007352941,0.005269608
BC,14,0.013194444,0.06127451,0.048080065
BC,8,0.009027778,0.051470588,0.04244281
BC,2,0.000694444,0.004901961,0.004207516
BC,4,0.001041667,0.00245098,0.001409314
BC,5,0.009375,0.046568627,0.037193627